Seq 0 , 2.00
Seq 1 , 3.00
Seq 2 , 32.00
Seq 3 , 3.00
Seq 4 , 4.00
Seq 0 , 4.00
Seq 1 , 7.00
Seq 2 , 4.00
Seq 3 , 6.00
Seq 4 , 8.00
Seq 0 , 2.00, Time Mon Mar  7 16:42:58 2016

Seq 1 , 10.00, Time Mon Mar  7 16:42:59 2016

Seq 2 , 29.00, Time Mon Mar  7 16:43:00 2016

Seq 3 , 5.00, Time Mon Mar  7 16:43:01 2016

Seq 4 , 4.00, Time Mon Mar  7 16:43:02 2016

Seq 0 , 2.00ms, Time Mon Mar  7 16:43:47 2016

Seq 1 , 4.00ms, Time Mon Mar  7 16:43:48 2016

Seq 2 , 5.00ms, Time Mon Mar  7 16:43:49 2016

Seq 3 , 8.00ms, Time Mon Mar  7 16:43:50 2016

Seq 4 , 6.00ms, Time Mon Mar  7 16:43:51 2016

Seq 0 , 8.13ms, Time Mon Mar  7 16:44:33 2016

Seq 1 , 8.99ms, Time Mon Mar  7 16:44:34 2016

